"","species","chemical","formula","iupac"
"534","Abies balsamea","zeaxanthin","C34H46O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E)-16-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]hexadeca-1,3,5,7,9,11,13,15-octaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"535","Abies balsamea","zeaxanthin","C40H56O2","4-[(1E,3Z,5Z,7E,9E,11E,13Z,15Z,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"536","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethyl(2,4,6-13C3)cyclohexen-1-yl]-3,7,12,16-tetramethyl(1,3,5,7,9,10,12,14,16,18-13C10)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethyl(1,3,5-13C3)cyclohex-3-en-1-ol"
"537","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-tri((113C)methyl)(1,3,5-13C3)cyclohexen-1-yl]-3,7,12,16-tetra((113C)methyl)(2,4,6,8,11,13,15,17-13C8)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-tri((113C)methyl)(2,4,6-13C3)cyclohex-3-en-1-ol"
"538","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"539","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyl(6,7,12,13-13C4)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"540","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-tri((113C)methyl)(1,2,3,4,5,6-13C6)cyclohexen-1-yl]-3,7,12,16-tetra((113C)methyl)(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18-13C18)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-tri((113C)methyl)(1,2,3,4,5,6-13C6)cyclohex-3-en-1-ol"
"541","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"542","Abies balsamea","zeaxanthin","C21H30O","(1R)-4-[(1E,3E,5E,7E)-3,7-dimethyldeca-1,3,5,7,9-pentaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"543","Abies balsamea","zeaxanthin","C40H56O2","4-[(1E,3Z,5Z,7Z,9E,11Z,13E,15Z,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"544","Abies balsamea","zeaxanthin","C40H56O2","(1S)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"545","Abies balsamea","zeaxanthin","C7H3F4NO2","2-fluoro-1-nitro-4-(trifluoromethyl)benzene"
"546","Abies balsamea","zeaxanthin","C40H66O2","(1S)-4-[(1E,9E,13E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,9,13,17-tetraenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"547","Abies balsamea","zeaxanthin","C40H56O2","(1R)-4-[(11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol"
"548","Abies balsamea","antheraxanthin","C40H56O3","(1R,3S,6S)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"549","Abies balsamea","antheraxanthin","C40H56O3","(1S,6R)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"550","Abies balsamea","antheraxanthin","C40H56O3","6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"551","Abies balsamea","antheraxanthin","C40H56O3","6-[(1E,3Z,5Z,7E,9E,11E,13Z,15Z,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"552","Abies balsamea","antheraxanthin","C40H56O3","(1R,3S,6S)-6-[(1E,3E,5E,7E,9E,11Z,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"553","Abies balsamea","antheraxanthin","C40H56O3","6-[18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"554","Abies balsamea","antheraxanthin","C40H56O3","(1R,3S,6S)-6-[18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"555","Abies balsamea","antheraxanthin","C40H56O3","(1S,3R,6R)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"556","Abies balsamea","antheraxanthin","C40H56O3","(3S)-6-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-ol"
"557","Abies balsamea","cresyl violet acetate","C18H15N3O3","(9-aminobenzo[a]phenoxazin-5-ylidene)azanium;acetate"
"558","Abies balsamea","cresyl violet acetate","C18H15N3O3","acetic acid;9-iminobenzo[a]phenoxazin-5-amine"
"559","Abies balsamea","cresyl violet acetate","C18H15N3O3","acetic acid;5-iminobenzo[a]phenoxazin-9-amine"
"560","Abies balsamea","cresyl violet acetate","C16H12N3O+","(9-aminobenzo[a]phenoxazin-5-ylidene)azanium"
