"","species","chemical","formula","iupac"
"101","Abies balsamea","2d","C10H9BrN2S","8-bromo-3,4-dihydro-2H-pyrimido[1,2-b][1,2]benzothiazole"
"102","Abies balsamea","fatty acid","C4H8O2","butanoic acid"
"103","Abies balsamea","linoleic","C18H32O2","(9Z,12Z)-octadeca-9,12-dienoic acid"
"104","Abies balsamea","volicitin","C23H38N2O5","(2S)-5-amino-2-[[(9Z,12Z,15Z,17S)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"105","Abies balsamea","volicitin","C23H38N2O5","(2S)-5-amino-2-[[(9Z,12Z,15Z)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"106","Abies balsamea","volicitin","C23H38N2O5","5-amino-2-[[(9Z,12Z,15Z)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"107","Abies balsamea","volicitin","C23H38N2O5","5-amino-2-[[(9E,12E,15E)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"108","Abies balsamea","volicitin","C23H38N2O5","(2S)-5-amino-2-[[(9Z,12Z,15Z,17R)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"109","Abies balsamea","volicitin","C23H38N2O5","(2S)-5-amino-2-[[(9E,12E,15E)-17-hydroxyoctadeca-9,12,15-trienoyl]amino]-5-oxopentanoic acid"
"110","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aS,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"111","Abies balsamea","dehydroabietic acid","C20H28O2","1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"112","Abies balsamea","dehydroabietic acid","C20H28O2","(1S,4aS,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"113","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"114","Abies balsamea","dehydroabietic acid","C20H28O2","(1R,4aS,10aS)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
"115","Abies balsamea","dehydroabietic acid","C20H28O2","(1R)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid"
